Designator,Mid X,Mid Y,Rotation,Layer
OSW1DLS1C1A39,188.71676,-2.70776,30.0,bottom
OSW1DLS1C1A4,196.01676,-51.80776,123.75,bottom
OSW1DLS1C1A40,258.547094,-67.371735,160.363,bottom
OSW1DLS1C1A41,261.51676,-77.20776,166.909,bottom
OSW1DLS1C1A42,263.21676,-87.314929,173.455,bottom
OSW1DLS1C1A43,263.91676,-99.90776,180.0,bottom
OSW1DLS1C1A44,263.342161,-112.40776,186.546,bottom
OSW1DLS1C1A45,261.31676,-122.60776,193.091,bottom
OSW1DLS1C1A46,258.41676,-132.40776,199.637,bottom
OSW1DLS1C1A47,139.25,-197.0,210.0,bottom
OSW1DLS1C1A48,145.5,-189.3,230.0,bottom
OSW1DLS1C1A49,154.21676,-184.25,250.0,bottom
OSW1DLS1C1A5,204.81676,-59.00776,135.0,bottom
OSW1DLS1C1A50,163.91676,-182.70776,270.0,bottom
OSW1DLS1C1A51,173.71676,-184.40776,290.0,bottom
OSW1DLS1C1A52,182.21676,-189.40776,310.0,bottom
OSW1DLS1C1A53,188.61676,-197.00776,330.0,bottom
OSW1DLS1C1A54,69.31676,-67.40776,19.637,bottom
OSW1DLS1C1A55,66.51676,-77.30776,13.091000000000008,bottom
OSW1DLS1C1A56,64.61676,-87.314929,6.5449999999999875,bottom
OSW1DLS1C1A57,63.91676,-99.90776,0.0,bottom
OSW1DLS1C1A58,64.61676,-112.314929,353.45500000000004,bottom
OSW1DLS1C1A59,66.61676,-122.60776,346.909,bottom
OSW1DLS1C1A6,212.01676,-67.80776,146.25,bottom
OSW1DLS1C1A60,69.71676,-132.648472,340.363,bottom
OSW1DLS1C1A7,217.300493,-77.728712,157.5,bottom
OSW1DLS1C1A8,220.71676,-88.60776,168.75,bottom
OSW1DLS1C1A9,221.71676,-99.90776,180.0,bottom
R1,163.91676,-45.90776,90.0,bottom
R10,216.81676,-110.40776,191.25,bottom
R11,213.81676,-120.60776,202.5,bottom
R12,208.81676,-129.90776,213.75,bottom
