0.1uF:3
100:1
10k:2
10uF:1
1k:2
330:1
BNO055:1
CAN:1
D1:1
G***:2
I2C*3:1
ILI9341:1
J1:1
J3:1
J6:1
J9:1
MD 1~4:1
MD 5~8:1
R3:1
R4:1
R5:1
SPI:1
SW1:1
Teensy4.1:1
Touch Sensor:2
Vin:1
sw0:1
sw1:1
